implementation,message_size,threads,total_time_sec,latency_us,throughput_mbps,cpu_cycles,context_switches,cache_misses
a1,64,1,10.190249,97.422439,5.25,224359775,82,252250
a1,64,2,10.193318,138.412923,3.70,190436945,91,318565
a1,64,4,10.190833,103.975120,4.92,323790598,86,184934
a1,64,8,10.188970,112.598572,4.54,178865681,89,103585
a1,256,1,10.000001,0.568159,3412.39,34306999205,415482,21349254
a1,256,2,10.000000,0.585467,3316.24,34426422052,384403,17315292
a1,256,4,10.000000,0.552684,3502.56,34292352531,356553,27268510
a1,256,8,10.000000,0.609786,3177.98,28818779513,333696,11091150
a1,1024,1,10.000000,1.994729,3201.37,21028212124,1627817,23142705
a1,1024,2,10.000003,2.170605,3110.81,21504230333,1743248,14765255
a1,1024,4,10.000000,2.174346,3094.03,21633072787,1735989,34710774
a1,1024,8,10.000001,2.060346,3177.91,20930509353,1735191,25576968
a1,4096,1,10.000003,3.597809,3279.36,21193213586,1875715,14715485
a1,4096,2,10.000003,3.498776,3363.79,19966396732,1874382,22728739
a1,4096,4,10.000002,3.737370,3381.93,22258027229,1785843,23506403
a1,4096,8,10.000000,3.657769,3259.94,21375518022,1826047,16940140
a2,64,1,10.196156,131.242026,3.90,153821921,91,85139
a2,64,2,10.195067,97.981632,5.22,281969593,84,130687
a2,64,4,10.191799,146.579679,3.49,183673150,83,80123
a2,64,8,10.188531,132.626831,3.86,288960663,96,93515
a2,256,1,10.000000,0.566602,3421.86,33793584949,461786,13223004
a2,256,2,10.000000,0.560708,3455.77,33945047004,400516,34159732
a2,256,4,10.000000,0.552040,3506.69,35015408134,358739,16920299
a2,256,8,10.000000,0.543620,3558.36,33726738971,360038,12689938
a2,1024,1,10.000004,2.016797,3185.20,21557027601,1666615,23524081
a2,1024,2,10.000004,2.000313,3217.33,20567665399,1611044,12523066
a2,1024,4,10.000004,2.320247,2980.54,21572563475,1962090,58727791
a2,1024,8,10.000001,2.082230,3161.94,21301579601,1692365,26475038
a2,4096,1,10.000002,3.689371,3293.29,21454676678,1872900,25871482
a2,4096,2,10.000000,3.724195,3253.23,20911154513,1788939,25128967
a2,4096,4,10.000000,3.695738,3252.46,20081075083,1877299,19873493
a2,4096,8,10.000000,3.614757,3388.21,22491388356,1792596,13453120
a3,64,1,10.191433,82.018098,6.24,310475419,169,213902
a3,64,2,10.187907,145.510610,3.52,177742909,86,86662
a3,64,4,10.192488,73.553619,6.95,463704074,87,138068
a3,64,8,10.193533,79.405346,6.44,266296307,83,94060
a3,256,1,10.000003,0.545355,3547.70,34177932924,346961,112204646
a3,256,2,10.000001,0.554772,3490.61,34064389848,358357,20046262
a3,256,4,10.000000,0.549765,3520.92,33925237686,358501,29120178
a3,256,8,10.000000,0.540534,3577.68,34465930123,348786,10641504
a3,1024,1,10.000001,1.915446,3270.87,23381549770,1489132,16730516
a3,1024,2,10.000006,1.991750,3207.01,21600544735,1564412,15270887
a3,1024,4,10.000003,2.009913,3178.24,21692430015,1599879,6293121
a3,1024,8,10.000001,2.100709,3048.56,21062931989,1749623,16586241
a3,4096,1,10.000004,3.734133,3206.01,21150278126,1904135,22496952
a3,4096,2,10.000001,3.742789,3308.83,22074439388,1861063,20269964
a3,4096,4,10.000002,3.627104,3410.14,22883303229,1798899,85272942
a3,4096,8,10.000004,3.503988,3329.80,21159166800,1815424,12272068
